Item ID,Item Description,Cost ($),Lead Time (d),Total Lead Time (d),Yield (%),Assembly leve,Item2
20001,Fine Point Pen,1,5,5,95,1,20001
30001,Medium Point Pen,1.2,5,5,95,1,30001
40001,Bold Point Pen,1.5,5,5,95,1,40001
10001,Spring,0.5,7,7,90,2,10001
20002,Fine Ballpoint Tip,0.75,6,6,90,3,20002
30002,Medium Ballpoint Tip,0.9,6,6,90,3,30002
40002,Bold Ballpoint Tip,1.2,6,6,90,3,40002
10002,Clip,0.3,7,7,85,2,10002
10003,Thrust Device,2.5,10,10,85,2,10003
10004,Tip,0.6,7,7,90,2,10004
10005,Ink Chamber,1.8,10,10,85,3,10005
20003,Fine Ballpoint Cartridge,0.75,6,16,90,2,20003
30003,Medium Ballpoint Cartridge,0.9,6,16,90,2,30003
40003,Bold Ballpoint Cartridge,1.2,6,16,90,2,40003
10006,Metal Ring,0.3,3,3,100,2,10006
